no,concurrency_type,operation,volume_mb,client_workers,server_workers,total_time,avg_duration_per_client,throughput_per_client,client_success,client_failed,server_success,server_failed
41,multithreading,upload,50,5,50,45.07,11.27,4652646,4,1,4,1
42,multithreading,upload,50,50,50,564.17,11.75,4460644,48,2,48,2
43,multithreading,upload,100,1,50,13.9,13.9,7544380,1,0,1,0
44,multithreading,upload,100,5,50,90.1,22.52,4655272,4,1,4,1
45,multithreading,upload,100,50,50,1160.3,24.17,4337798,48,2,48,2
46,multithreading,download,10,1,50,1.33,1.33,7910710,1,0,1,0
47,multithreading,download,10,5,50,6.89,1.72,6090231,4,1,4,1
48,multithreading,download,10,50,50,88.02,1.83,5718527,48,2,48,2
49,multithreading,download,50,1,50,6.19,6.19,8474287,1,0,1,0
50,multithreading,download,50,5,50,36.64,9.16,5724203,4,1,4,1
51,multithreading,download,50,50,50,416.28,8.67,6045455,48,2,48,2
52,multithreading,download,100,1,50,13.41,13.41,7816711,1,0,1,0
53,multithreading,download,100,5,50,72.13,18.03,5814948,4,1,4,1
54,multithreading,download,100,50,50,827.14,17.23,6085000,48,2,48,2
1,multiprocessing,upload,10,1,1,4.75,4.75,2206791,1,0,0,1
2,multiprocessing,upload,10,5,1,29.03,7.26,1444767,4,1,3,2
3,multiprocessing,upload,10,50,1,350.14,7.61,1377558,46,4,45,5
4,multiprocessing,upload,50,1,1,22.27,22.27,2589556,1,0,0,1
5,multiprocessing,upload,50,5,1,156.31,39.08,1475798,4,1,3,2
6,multiprocessing,upload,50,50,1,2084.98,45.33,1272387,46,4,45,5
7,multiprocessing,upload,100,1,1,50.38,50.38,2289429,1,0,0,1
8,multiprocessing,upload,100,5,1,296.53,74.13,1555921,4,1,3,2
9,multiprocessing,upload,100,50,1,3094.19,67.26,1714761,46,4,45,5
10,multiprocessing,download,10,1,1,3.64,3.64,2882448,1,0,0,1
11,multiprocessing,download,10,5,1,28.2,7.05,1487527,4,1,3,2
12,multiprocessing,download,10,50,1,321.85,7.0,1498647,46,4,45,5
13,multiprocessing,download,50,1,1,22.64,22.64,2547191,1,0,0,1
14,multiprocessing,download,50,5,1,122.88,30.72,1877376,4,1,3,2
15,multiprocessing,download,50,50,1,1500.18,32.61,1768390,46,4,45,5
16,multiprocessing,download,100,1,1,41.62,41.62,2771288,1,0,0,1
17,multiprocessing,download,100,5,1,281.43,70.36,1639393,4,1,3,2
18,multiprocessing,download,100,50,1,3065.5,66.64,1730809,46,4,45,5
19,multiprocessing,upload,10,1,5,2.47,2.47,4243980,1,0,0,1
20,multiprocessing,upload,10,5,5,14.96,3.74,2804067,4,1,3,2
21,multiprocessing,upload,10,50,5,143.61,3.12,3358730,46,4,45,5
22,multiprocessing,upload,50,1,5,11.74,11.74,4912865,1,0,0,1
23,multiprocessing,upload,50,5,5,56.76,14.19,4064411,4,1,3,2
24,multiprocessing,upload,50,50,5,919.01,19.98,2886704,46,4,45,5
25,multiprocessing,upload,100,1,5,23.41,23.41,4926383,1,0,0,1
26,multiprocessing,upload,100,5,5,136.0,34.0,3392565,4,1,3,2
27,multiprocessing,upload,100,50,5,1789.02,38.89,2965750,46,4,45,5
28,multiprocessing,download,10,1,5,1.6,1.6,6547502,1,0,0,1
29,multiprocessing,download,10,5,5,10.4,2.6,4034578,4,1,3,2
30,multiprocessing,download,10,50,5,128.19,2.79,3762599,46,4,45,5
31,multiprocessing,download,50,1,5,10.07,10.07,5724333,1,0,0,1
32,multiprocessing,download,50,5,5,48.56,12.14,4750756,4,1,3,2
33,multiprocessing,download,50,50,5,652.23,14.18,4067421,46,4,45,5
34,multiprocessing,download,100,1,5,17.68,17.68,6523521,1,0,0,1
35,multiprocessing,download,100,5,5,104.34,26.09,4421640,4,1,3,2
36,multiprocessing,download,100,50,5,1200.93,26.11,4418059,46,4,45,5
37,multiprocessing,upload,10,1,50,1.59,1.59,6592038,1,0,0,1
38,multiprocessing,upload,10,5,50,11.28,2.82,3719999,4,1,3,2
39,multiprocessing,upload,10,50,50,148.4,3.23,3250386,46,4,45,5
40,multiprocessing,upload,50,1,50,9.87,9.87,5843379,1,0,0,1
41,multiprocessing,upload,50,5,50,59.58,14.89,3872025,4,1,3,2
42,multiprocessing,upload,50,50,50,710.59,15.45,3733350,46,4,45,5
43,multiprocessing,upload,100,1,50,20.12,20.12,5732212,1,0,0,1
44,multiprocessing,upload,100,5,50,95.38,23.85,4837052,4,1,3,2
45,multiprocessing,upload,100,50,50,1258.65,27.36,4215452,46,4,45,5
46,multiprocessing,download,10,1,50,1.46,1.46,7178385,1,0,0,1
47,multiprocessing,download,10,5,50,8.94,2.23,4691797,4,1,3,2
48,multiprocessing,download,10,50,50,111.05,2.41,4343373,46,4,45,5
49,multiprocessing,download,50,1,50,7.44,7.44,7754347,1,0,0,1
50,multiprocessing,download,50,5,50,48.26,12.07,4779792,4,1,3,2
51,multiprocessing,download,50,50,50,556.76,12.1,4764865,46,4,45,5
52,multiprocessing,download,100,1,50,17.13,17.13,6735236,1,0,0,1
53,multiprocessing,download,100,5,50,81.24,20.31,5679134,4,1,3,2
54,multiprocessing,download,100,50,50,1158.8,25.19,4578704,46,4,45,5
